,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
0,1419,Home in Toronto · ★5.0 · 5 bedrooms · 7 beds · 3 baths,1565,Little Portugal,43.6459,-79.42423,Entire home/apt,120.0,28,6,2017-08-07,0.06,1,0,0,5.0
1,8077,Rental unit in Toronto · ★4.84 · 1 bedroom · 1 bed · 1.5 baths,22795,Waterfront Communities-The Island,43.6408,-79.37673,Private room,100.0,180,169,2013-08-27,0.96,2,0,0,4.84
2,26654,Condo in Toronto · ★4.79 · 1 bedroom · 2 beds · 1 bath,113345,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,145.0,28,42,2023-09-01,0.27,5,77,2,4.79
3,27423,Rental unit in Toronto · ★4.93 · Studio · 1 bed · 1 bath,118124,South Riverdale,43.66884,-79.32725,Entire home/apt,75.0,90,28,2023-08-31,0.17,1,215,1,4.93
4,30931,Rental unit in Toronto · 1 bedroom · 2 beds · 1.5 baths,22795,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,134.0,180,1,2010-08-11,0.01,2,0,0,1.5
5,40456,Home in Toronto · ★4.64 · 2 bedrooms · 2 beds · 1 bath,174063,South Parkdale,43.63539,-79.4401,Entire home/apt,150.0,750,113,2023-06-19,0.69,4,364,2,4.64
6,42892,Condo in Toronto · 3 bedrooms · 3 beds · 2 baths,187320,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,143.0,90,0,,0.625,12,364,0,4.85
7,43964,Home in Toronto · ★4.96 · 2 bedrooms · 4 beds · 1 bath,192364,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,195.0,1,67,2023-09-25,0.78,1,364,13,4.96
8,44452,Rental unit in Toronto · ★4.18 · 1 bedroom · 1 bed · 1 bath,195095,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126.0,28,66,2023-08-04,0.41,13,181,2,4.18
9,44469,Rental unit in Toronto · ★4.0 · 1 bedroom · 1 bed · 1 bath,195095,Rosedale-Moore Park,43.67129,-79.38634,Private room,89.0,30,8,2017-08-27,0.05,13,220,0,4.0
10,45399,Condo in Toronto · ★4.16 · Studio · 1 bed · 1 bath,195095,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,146.0,28,86,2023-11-19,0.54,13,365,3,4.16
11,45453,Rental unit in Toronto · ★4.13 · 1 bedroom · 1 bed · 1 bath,195095,Rosedale-Moore Park,43.67128,-79.38422,Private room,105.0,28,9,2018-09-02,0.06,13,341,0,4.13
12,45893,Rental unit in Toronto · ★4.39 · 1 bedroom · 1 bed · 1 private bath,195095,Rosedale-Moore Park,43.6718,-79.38488,Private room,90.0,28,22,2023-06-24,0.14,13,191,2,4.39
13,50110,Condo in Toronto · ★4.62 · 1 bedroom · 1 bed · 1 bath,195095,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,160.0,28,59,2023-12-08,0.37,13,365,1,4.62
14,51616,Condo in Toronto · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,237587,Niagara,43.64296,-79.40451,Private room,55.0,91,24,2018-11-11,0.27,1,0,0,4.88
15,62545,Home in Toronto · ★4.85 · 1 bedroom · 1 bed · Half-bath,304551,Niagara,43.64611,-79.4071,Private room,50.0,90,23,2019-12-20,0.14,9,37,0,4.85
