,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
0,1419,1565,Little Portugal,43.6459,-79.42423,Entire home/apt,120.0,28,6,2017-08-07,0.06,1,0,0,5.0
1,26654,113345,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,145.0,28,42,2023-09-01,0.27,5,77,2,4.79
2,27423,118124,South Riverdale,43.66884,-79.32725,Entire home/apt,75.0,90,28,2023-08-31,0.17,1,215,1,4.93
3,40456,174063,South Parkdale,43.63539,-79.4401,Entire home/apt,150.0,750,113,2023-06-19,0.69,4,364,2,4.64
4,43964,192364,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,195.0,1,67,2023-09-25,0.78,1,364,13,4.96
5,44452,195095,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126.0,28,66,2023-08-04,0.41,13,181,2,4.18
6,44469,195095,Rosedale-Moore Park,43.67129,-79.38634,Private room,89.0,30,8,2017-08-27,0.05,13,220,0,4.0
7,45399,195095,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,146.0,28,86,2023-11-19,0.54,13,365,3,4.16
8,45453,195095,Rosedale-Moore Park,43.67128,-79.38422,Private room,105.0,28,9,2018-09-02,0.06,13,341,0,4.13
9,45893,195095,Rosedale-Moore Park,43.6718,-79.38488,Private room,90.0,28,22,2023-06-24,0.14,13,191,2,4.39
10,50110,195095,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,160.0,28,59,2023-12-08,0.37,13,365,1,4.62
11,51616,237587,Niagara,43.64296,-79.40451,Private room,55.0,91,24,2018-11-11,0.27,1,0,0,4.88
12,62545,304551,Niagara,43.64611,-79.4071,Private room,50.0,90,23,2019-12-20,0.14,9,37,0,4.85
13,64635,304551,Niagara,43.64482,-79.40897,Private room,50.0,120,17,2023-09-01,0.11,9,255,2,4.59
14,64641,304551,Niagara,43.64453,-79.40736,Private room,50.0,120,23,2023-12-30,0.15,9,18,3,4.82
15,64645,304551,Niagara,43.64475,-79.40905,Private room,60.0,90,14,2023-12-31,0.09,9,190,2,4.75
16,66856,304551,Niagara,43.64642,-79.40736,Private room,45.0,90,3,2023-10-20,0.02,9,314,2,5.0
17,71118,304551,Niagara,43.64605,-79.4069,Private room,80.0,90,13,2023-10-23,0.08,9,220,1,4.58
18,84151,195095,Rosedale-Moore Park,43.67138,-79.38424,Entire home/apt,160.0,30,22,2023-10-20,0.15,13,340,2,4.58
19,96336,511506,Niagara,43.64388,-79.41011,Entire home/apt,309.0,3,151,2024-01-02,1.22,1,111,7,4.95
20,112842,575127,High Park North,43.65703,-79.46719,Entire home/apt,66.0,120,12,2017-03-05,0.08,1,33,0,4.92
21,119441,174063,South Parkdale,43.63737,-79.44022,Entire home/apt,100.0,60,82,2023-10-30,0.53,4,130,3,4.83
22,131401,604233,Niagara,43.63649,-79.40171,Entire home/apt,75.0,100,11,2023-05-17,0.11,1,124,1,4.55
23,184784,656777,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,219.0,180,63,2023-04-30,0.42,1,313,1,4.93
24,192335,140602,South Parkdale,43.63677,-79.42099,Entire home/apt,85.0,28,53,2020-03-02,0.36,1,0,0,4.7
25,192860,533496,Junction Area,43.66492,-79.47384,Entire home/apt,120.0,185,128,2023-01-10,0.86,2,216,1,4.93
26,196584,957466,Oakridge,43.69431,-79.28563,Entire home/apt,92.0,18,50,2023-12-10,0.56,1,283,14,4.94
27,207206,1019538,Little Portugal,43.6471,-79.4376,Entire home/apt,300.0,28,22,2023-01-11,0.15,1,363,1,4.76
28,224775,1170217,Church-Yonge Corridor,43.6619,-79.37727,Private room,75.0,28,37,2023-12-24,0.36,2,132,4,4.84
29,228568,934821,Cabbagetown-South St.James Town,43.66593,-79.37655,Entire home/apt,325.0,28,76,2023-09-11,0.52,2,1,11,4.93
30,232794,1218097,Annex,43.6715929,-79.3908687,Entire home/apt,205.0,28,5,2020-03-18,0.04,1,179,0,4.8
31,239449,349772,Annex,43.66701,-79.40625,Entire home/apt,87.0,28,36,2023-12-27,0.28,1,68,6,4.72
32,248939,1304211,Caledonia-Fairbank,43.68261719,-79.4592514,Private room,44.0,29,45,2016-10-24,0.3,2,363,0,4.12
33,248940,1304211,Caledonia-Fairbank,43.68238,-79.46038,Entire home/apt,51.0,5,103,2023-12-12,0.74,2,35,11,4.69
34,251549,1319225,Annex,43.66584,-79.41251,Private room,120.0,28,18,2023-08-12,0.15,1,0,1,4.94
